DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
220316688,09/12/2022 12:00:00 AM,09/11/2020 12:00:00 AM,2100,03,Southwest,0357,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1251 1300 1606 1822 0329 1309,27,F,O,101,STREET,,,IC,Invest Cont,331,,,,1300 W  37TH                         DR,,34.0191,-118.2977
231814007,07/27/2023 12:00:00 AM,10/27/2020 12:00:00 AM,0915,18,Southeast,1849,2,354,THEFT OF IDENTITY,0928 1822,29,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2200 E  111TH                        ST,,33.9345,-118.2329
221209581,04/07/2022 12:00:00 AM,01/01/2020 12:00:00 AM,0800,12,77th Street,1215,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0913 0602 0522 0556 0400,9,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,5500 S  VERMONT                      AV,,33.9921,-118.298
220917870,12/31/2022 12:00:00 AM,03/16/2020 12:00:00 AM,1025,09,Van Nuys,0929,2,354,THEFT OF IDENTITY,0100 0928 0344 1822,41,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6500    WOODMAN                      AV,,34.1887,-118.4313
221017007,11/28/2022 12:00:00 AM,04/23/2020 12:00:00 AM,0001,10,West Valley,1041,2,354,THEFT OF IDENTITY,1822,44,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6000    DONNA                        AV,,34.1787,-118.5475
232112058,07/25/2023 12:00:00 AM,04/26/2020 12:00:00 AM,2110,21,Topanga,2198,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,17,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,4500    CEZANNE                      AV,,34.1484,-118.6033
220313293,07/06/2022 12:00:00 AM,06/30/2020 12:00:00 AM,1400,03,Southwest,0396,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0416 0446,25,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,VERMONT                      AV,43RD                         ST,34.0055,-118.2915
220320985,07/07/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1200,03,Southwest,0311,2,813,CHILD ANNOYING (17YRS & UNDER),,5,F,H,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,813,,,,5500    GEER                         ST,,34.0301,-118.3636
221411125,05/19/2022 12:00:00 AM,09/01/2020 12:00:00 AM,0100,14,Pacific,1413,2,946,OTHER MISCELLANEOUS CRIME,0913 1813,46,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,946,,,,300    VERNON                       AV,,33.9943,-118.4748
221909318,05/09/2022 12:00:00 AM,05/08/2020 12:00:00 AM,1120,19,Mission,1954,1,330,BURGLARY FROM VEHICLE,1612 0385,36,M,H,101,STREET,,,IC,Invest Cont,330,,,,9900    LEMONA                       AV,,34.2573,-118.463
231510293,05/27/2023 12:00:00 AM,11/24/2020 12:00:00 AM,0200,15,N Hollywood,1504,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,7500    LAUREL CANYON                BL,,34.2071,-118.3965
230714162,09/02/2023 12:00:00 AM,08/03/2020 12:00:00 AM,1908,07,Wilshire,0783,2,354,THEFT OF IDENTITY,1822 0922 0100,18,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5100 W  21ST                         ST,,34.0394,-118.3541
221110658,06/21/2022 12:00:00 AM,02/28/2020 12:00:00 AM,1625,11,Northeast,1144,2,354,THEFT OF IDENTITY,0100 0928,39,M,C,750,CYBERSPACE,,,IC,Invest Cont,354,,,,3600    TRACY                        ST,,34.1037,-118.2722
220207597,03/21/2022 12:00:00 AM,10/01/2020 12:00:00 AM,2200,02,Rampart,0291,1,210,ROBBERY,1822 0416,62,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,1300 S  ALVARADO                     ST,,34.0473,-118.2827
221713038,08/31/2022 12:00:00 AM,03/10/2020 12:00:00 AM,1800,17,Devonshire,1767,2,662,"BUNCO, GRAND THEFT",0701,32,M,O,101,STREET,,,IC,Invest Cont,662,,,,18400    PLUMMER                      ST,,34.2428,-118.5338
221105273,02/04/2022 12:00:00 AM,02/02/2020 12:00:00 AM,1200,11,Northeast,1179,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,100 W  AVENUE 44,,34.0951,-118.208
221700646,03/22/2022 12:00:00 AM,10/01/2020 12:00:00 AM,1200,17,Devonshire,1794,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0913 1251 0400 0515 0522 1258 0360,5,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815,,,,8300    LINDLEY                      AV,,34.2251,-118.5372
230710696,06/11/2023 12:00:00 AM,12/17/2020 12:00:00 AM,0001,07,Wilshire,0722,2,354,THEFT OF IDENTITY,0923 0930 1822 0928,26,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,100 S  FLORES                       ST,,34.0744,-118.3711
231510050,05/22/2023 12:00:00 AM,05/08/2020 12:00:00 AM,1200,15,N Hollywood,1548,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0448,29,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,5300    CLEON                        AV,,34.167,-118.3686
230911729,06/10/2023 12:00:00 AM,04/01/2020 12:00:00 AM,0005,09,Van Nuys,0911,2,354,THEFT OF IDENTITY,1822 0100 0923,56,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6600    PEACH                        AV,,34.1903,-118.4676
221209383,03/30/2022 12:00:00 AM,02/25/2020 12:00:00 AM,1930,12,77th Street,1207,2,354,THEFT OF IDENTITY,,24,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,4600    WESLEY                       AV,,34.0016,-118.2878
220211619,05/07/2022 12:00:00 AM,12/16/2020 12:00:00 AM,0457,02,Rampart,0231,1,330,BURGLARY FROM VEHICLE,0344 0329,32,M,H,101,STREET,,,IC,Invest Cont,330,,,,200 S  VENDOME                      ST,,34.0689,-118.2841
231105297,02/03/2023 12:00:00 AM,07/27/2020 12:00:00 AM,1000,11,Northeast,1152,2,354,THEFT OF IDENTITY,1822 1501 0100,25,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,4200    CLAYTON                      AV,,34.1,-118.2819
232011006,06/02/2023 12:00:00 AM,06/01/2020 12:00:00 AM,1200,20,Olympic,2071,2,662,"BUNCO, GRAND THEFT",0701 0800 0344 1822,44,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,1500 S  GRAMERCY                     PL,,34.0453,-118.313
221308122,03/10/2022 12:00:00 AM,03/10/2020 12:00:00 AM,0035,13,Newton,1324,2,354,THEFT OF IDENTITY,1822 0100,30,F,B,750,CYBERSPACE,,,IC,Invest Cont,354,,,,1400 E  20TH                         ST,,34.0218,-118.249
201410122,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,0100,14,Pacific,1406,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3600    KEYSTONE                     AV,,34.0238,-118.4095
231709319,05/07/2023 12:00:00 AM,12/14/2020 12:00:00 AM,1545,17,Devonshire,1718,2,354,THEFT OF IDENTITY,0929 0930,42,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11100    DENSMORE                     AV,,34.2728,-118.4788
221917253,11/25/2022 12:00:00 AM,06/15/2020 12:00:00 AM,1200,19,Mission,1981,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,8600    LANGDON                      AV,,34.2265,-118.4699
220204234,01/05/2022 12:00:00 AM,12/20/2020 12:00:00 AM,0815,02,Rampart,0269,2,354,THEFT OF IDENTITY,0100 0930,58,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,700    WITMER                       ST,,34.0524,-118.2678
220604399,01/10/2022 12:00:00 AM,09/19/2020 12:00:00 AM,1600,06,Hollywood,0668,2,354,THEFT OF IDENTITY,1822,30,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,WILTON,LEXINGTON,34.0928,-118.3136
231320297,11/08/2023 12:00:00 AM,05/08/2020 12:00:00 AM,1120,13,Newton,1383,2,354,THEFT OF IDENTITY,0100,51,M,H,750,CYBERSPACE,,,IC,Invest Cont,354,,,,200 W  60TH                         ST,,33.9851,-118.2765
221511470,06/22/2022 12:00:00 AM,07/11/2020 12:00:00 AM,1200,15,N Hollywood,1541,2,354,THEFT OF IDENTITY,0377 1822,63,M,W,209,EQUIPMENT RENTAL,,,IC,Invest Cont,354,,,,12600    OTSEGO                       ST,,34.1631,-118.4074
221516098,10/13/2022 12:00:00 AM,10/13/2020 12:00:00 AM,1200,15,N Hollywood,1557,2,860,BATTERY WITH SEXUAL CONTACT,0913 1810,29,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,10900    BLIX                         ST,,34.1567,-118.368
230118041,08/16/2023 12:00:00 AM,08/27/2020 12:00:00 AM,2100,01,Central,0132,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1814 0408 0329 0421 0400,59,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,800 W  1ST                          ST,,34.057,-118.2508
221205458,01/15/2022 12:00:00 AM,10/10/2020 12:00:00 AM,0820,12,77th Street,1267,1,820,ORAL COPULATION,1203 1251 1258 0913 0500 0507 0549 0360,14,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,820,,,800 W  83RD                         ST,,33.9636,-118.2871
231315967,08/21/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1530,13,Newton,1362,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0914 1817 0913,12,F,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,812,813,,,4800 S  SAN PEDRO                    ST,,33.9994,-118.2696
220514938,10/16/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1800,05,Harbor,0504,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0556 1259 0913 0448,12,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,1600 W  206TH                        ST,,33.8438,-118.3066
230606306,02/24/2023 12:00:00 AM,03/20/2020 12:00:00 AM,1800,06,Hollywood,0622,2,661,UNAUTHORIZED COMPUTER ACCESS,1822 1914,30,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,661,,,,8100    WILLOW GLEN                  RD,,34.1162,-118.3738
221507710,03/30/2022 12:00:00 AM,01/30/2020 12:00:00 AM,1305,15,N Hollywood,1555,2,354,THEFT OF IDENTITY,0377,71,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,354,,,,11300    OTSEGO                       ST,,34.163,-118.3774
221300973,09/09/2022 12:00:00 AM,06/01/2020 12:00:00 AM,1900,13,Newton,1352,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0527 0913 1259 1402 1309,14,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,810,998,,,4600 S  MAIN                         ST,,34.002,-118.274
222114709,09/26/2022 12:00:00 AM,06/19/2020 12:00:00 AM,0600,21,Topanga,2113,2,354,THEFT OF IDENTITY,1822,42,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7900    SAUSALITO                    AV,,34.2141,-118.6157
221006046,02/24/2022 12:00:00 AM,11/19/2020 12:00:00 AM,1200,10,West Valley,1025,2,354,THEFT OF IDENTITY,1822 1908,69,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,17900    SHERMAN                      WY,,34.2009,-118.5229
221609983,06/30/2022 12:00:00 AM,08/01/2020 12:00:00 AM,1200,16,Foothill,1668,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 2021,49,F,W,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AO,Adult Other,930,,,,9700    PINEWOOD                     AV,,34.2452,-118.2855
221806358,02/21/2022 12:00:00 AM,02/21/2020 12:00:00 AM,2300,18,Southeast,1849,2,354,THEFT OF IDENTITY,0930,26,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2000 E  115TH                        ST,,33.9305,-118.2363
221315910,10/29/2020 12:00:00 AM,08/02/2020 12:00:00 AM,1415,13,Newton,1361,2,354,THEFT OF IDENTITY,0100 0928,63,M,H,751,WEBSITE,,,IC,Invest Cont,354,,,,4600 S  BROADWAY,,34.002,-118.2783
230908117,04/13/2023 12:00:00 AM,07/31/2020 12:00:00 AM,0001,09,Van Nuys,0989,2,354,THEFT OF IDENTITY,1501,41,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4200    VENTURA CANYON               AV,,34.1464,-118.4294
231309176,04/14/2023 12:00:00 AM,10/19/2020 12:00:00 AM,1445,13,Newton,1393,2,354,THEFT OF IDENTITY,0100,57,M,B,750,CYBERSPACE,,,IC,Invest Cont,354,,,,100 W  70TH                         ST,,33.9765,-118.2739
232014656,08/25/2023 12:00:00 AM,06/25/2020 12:00:00 AM,1445,20,Olympic,2026,2,354,THEFT OF IDENTITY,1822,24,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,400 S  CATALINA                     ST,,34.0672,-118.2954
221905982,02/20/2022 12:00:00 AM,02/20/2020 12:00:00 AM,1500,19,Mission,1977,2,901,VIOLATION OF RESTRAINING ORDER,1259 2038,15,F,H,101,STREET,,,AA,Adult Arrest,901,,,,CANTERBURY,OSBORNE,34.2373,-118.4327
230109090,03/10/2023 12:00:00 AM,04/10/2020 12:00:00 AM,0200,01,Central,0163,2,354,THEFT OF IDENTITY,0928,36,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,700 S  SPRING                       ST,,34.0438,-118.2547
221309225,04/07/2022 12:00:00 AM,04/03/2020 12:00:00 AM,0144,13,Newton,1331,2,354,THEFT OF IDENTITY,0100 0930 1822,29,M,H,750,CYBERSPACE,,,IC,Invest Cont,354,,,,2700 S  GRAND                        AV,,34.0254,-118.2729
210904288,01/09/2021 12:00:00 AM,12/27/2020 12:00:00 AM,1600,09,Van Nuys,0964,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1420,22,F,W,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4389
231905726,02/08/2023 12:00:00 AM,01/01/2020 12:00:00 AM,0001,19,Mission,1995,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0913 1817 0556 1258 0522,5,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,14700    BLYTHE                       ST,,34.2152,-118.4531
221615196,12/16/2022 12:00:00 AM,12/01/2020 12:00:00 AM,0001,16,Foothill,1602,2,354,THEFT OF IDENTITY,1501,22,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12100    MERCER                       ST,,34.2865,-118.3976
220120619,09/16/2022 12:00:00 AM,09/15/2020 12:00:00 AM,1541,01,Central,0185,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,26,M,H,101,STREET,,,IC,Invest Cont,740,,,,900 S  MAIN                         ST,,34.0416,-118.255
220610269,05/13/2022 12:00:00 AM,10/08/2020 12:00:00 AM,1925,06,Hollywood,0656,2,354,THEFT OF IDENTITY,0928 1822 0344,38,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1000    WILCOX                       AV,,34.0889,-118.331
230218442,10/02/2023 12:00:00 AM,01/01/2020 12:00:00 AM,0900,02,Rampart,0235,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0913 0602 0554 1259,13,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,200 S  LAKE                         ST,,34.0663,-118.2719
221004804,01/23/2022 12:00:00 AM,11/23/2020 12:00:00 AM,1435,10,West Valley,1063,2,354,THEFT OF IDENTITY,1822,61,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,18600    VENTURA                      BL,,34.1698,-118.5386
232110833,06/23/2023 12:00:00 AM,06/01/2020 12:00:00 AM,1200,21,Topanga,2146,2,354,THEFT OF IDENTITY,1822 0930,33,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,6800    ALABAMA                      AV,,34.1937,-118.599
222004619,12/21/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1529,20,Olympic,2069,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1202 1822 2032,63,M,K,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,341,,,,2500 W  OLYMPIC                      BL,,34.0524,-118.2842
220208989,04/14/2022 12:00:00 AM,04/14/2020 12:00:00 AM,0945,02,Rampart,0256,2,354,THEFT OF IDENTITY,0100,28,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,600 S  UNION                        AV,,34.0565,-118.2724
231806653,06/12/2022 12:00:00 AM,03/04/2020 12:00:00 AM,0800,18,Southeast,1832,2,946,OTHER MISCELLANEOUS CRIME,0913 0935,-2,X,X,726,POLICE FACILITY,,,IC,Invest Cont,946,,,,100 W  108TH                        ST,,33.9401,-118.2761
220706120,02/23/2022 12:00:00 AM,10/13/2020 12:00:00 AM,0900,07,Wilshire,0702,2,354,THEFT OF IDENTITY,0929,27,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,700 N  GENESEE                      AV,,34.0838,-118.3584
230208225,03/28/2023 12:00:00 AM,03/28/2020 12:00:00 AM,1450,02,Rampart,0237,2,354,THEFT OF IDENTITY,1822 0100 0917,20,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,200    WITMER                       ST,,34.061,-118.2615
221806331,02/15/2022 12:00:00 AM,04/10/2020 12:00:00 AM,0815,18,Southeast,1802,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0377 0910,28,M,H,801,MTA BUS,,,IC,Invest Cont,440,,,,200 W  MANCHESTER                   AV,,33.9601,-118.2768
210704053,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,0400,07,Wilshire,0722,1,310,BURGLARY,1822 0344 1607 1300,31,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,100 N  CROFT                        AV,,34.0745,-118.3742
231221370,10/11/2023 12:00:00 AM,03/20/2020 12:00:00 AM,1000,12,77th Street,1259,2,354,THEFT OF IDENTITY,0100,37,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7500 S  SAN PEDRO                    ST,,33.9722,-118.2696
221016479,11/14/2022 12:00:00 AM,07/24/2020 12:00:00 AM,1500,10,West Valley,1017,1,761,BRANDISH WEAPON,1202 1822 0334,59,F,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,761,,,,SHERMAN                      WY,ENCINO,34.2012,-118.5133
221011289,07/05/2022 12:00:00 AM,03/01/2020 12:00:00 AM,1200,10,West Valley,1001,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0416,43,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,SHIRLEY,ROSCOE                       BL,34.2204,-118.5579
231421770,12/13/2023 12:00:00 AM,03/13/2020 12:00:00 AM,1200,14,Pacific,1464,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,45,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,440,,,,CAMPUS CENTER                DR,BLUFF CREEK                  DR,33.9775,-118.4065
221811572,05/24/2022 12:00:00 AM,08/02/2020 12:00:00 AM,0324,18,Southeast,1841,2,354,THEFT OF IDENTITY,0922 0928 0929 0930 1202 1822,63,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,10400 S  VERMONT                      AV,,33.9423,-118.2916
230404996,01/30/2023 12:00:00 AM,08/23/2020 12:00:00 AM,0800,04,Hollenbeck,0488,2,649,DOCUMENT FORGERY / STOLEN FELONY,0601 1202 0344 0360 0913,78,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,3400    GARNET                       ST,,34.0231,-118.2039
232117501,12/09/2023 12:00:00 AM,05/10/2020 12:00:00 AM,1645,21,Topanga,2157,2,354,THEFT OF IDENTITY,0929 0928,25,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,6500    INDEPENDENCE                 AV,,34.1889,-118.5905
221220860,09/15/2022 12:00:00 AM,01/18/2020 12:00:00 AM,0001,12,77th Street,1213,2,354,THEFT OF IDENTITY,0100 1202,67,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5200 S  MANHATTAN                    PL,,33.9951,-118.3102
220504655,01/20/2022 12:00:00 AM,01/19/2020 12:00:00 AM,2200,05,Harbor,0551,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 1300,0,X,X,729,SPECIALTY SCHOOL/OTHER,,,IC,Invest Cont,331,,,,300 S  WEYMOUTH                     AV,,33.7421,-118.3102
230813464,07/22/2023 12:00:00 AM,10/01/2020 12:00:00 AM,1755,08,West LA,0828,2,354,THEFT OF IDENTITY,1501,25,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,800    HILGARD                      AV,,34.0664,-118.4397
231905565,02/06/2023 12:00:00 AM,01/01/2020 12:00:00 AM,0005,19,Mission,1964,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0913 0448,26,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,9400    KESTER                       AV,,34.2412,-118.4558
220910623,06/21/2022 12:00:00 AM,11/19/2020 12:00:00 AM,0001,09,Van Nuys,0939,2,354,THEFT OF IDENTITY,1822 0917,53,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,6300    MORSE                        AV,,34.1864,-118.4159
221226041,12/27/2022 12:00:00 AM,11/20/2020 12:00:00 AM,1010,12,77th Street,1267,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,57,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,8300 S  HOOVER                       ST,,33.9633,-118.2871
231207476,02/27/2023 12:00:00 AM,08/15/2020 12:00:00 AM,0001,12,77th Street,1273,1,310,BURGLARY,1202 0329 1300,72,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,8800    HAAS                         AV,,33.958,-118.317
221708027,04/13/2022 12:00:00 AM,08/09/2020 12:00:00 AM,0905,17,Devonshire,1745,2,354,THEFT OF IDENTITY,1822 0100 0928,35,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17600    BLACKHAWK                    ST,,34.2586,-118.5169
220717687,12/12/2022 12:00:00 AM,02/12/2020 12:00:00 AM,0840,07,Wilshire,0714,2,354,THEFT OF IDENTITY,1822 0100,26,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,400 N  FULLER                       AV,,34.0783,-118.3498
230507674,04/11/2023 12:00:00 AM,07/30/2020 12:00:00 AM,0835,05,Harbor,0585,2,354,THEFT OF IDENTITY,0922 0929 0377,28,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,800 W  19TH                         ST,,33.727,-118.2946
220909334,05/18/2022 12:00:00 AM,10/01/2020 12:00:00 AM,1400,09,Van Nuys,0971,2,354,THEFT OF IDENTITY,1822,47,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4700    BURNET                       AV,,34.1559,-118.4629
221015665,10/25/2022 12:00:00 AM,06/09/2020 12:00:00 AM,1535,10,West Valley,1023,2,354,THEFT OF IDENTITY,1822 0928,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,19200    HAYNES                       ST,,34.1896,-118.5515
221225047,12/09/2022 12:00:00 AM,12/02/2020 12:00:00 AM,1535,12,77th Street,1251,2,354,THEFT OF IDENTITY,0100 1822 0922,29,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6800    10TH                         AV,,33.9773,-118.3279
231810634,05/19/2023 12:00:00 AM,01/02/2020 12:00:00 AM,0800,18,Southeast,1824,2,354,THEFT OF IDENTITY,0930 0928 1822 0100,21,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9700 S  CENTRAL                      AV,,33.9482,-118.2541
230513434,09/12/2023 12:00:00 AM,09/01/2020 12:00:00 AM,0001,05,Harbor,0526,2,662,"BUNCO, GRAND THEFT",0344 0701 0800,54,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662,,,,600 N  FRIES                        AV,,33.777,-118.2648
221007765,04/10/2022 12:00:00 AM,04/06/2020 12:00:00 AM,1200,10,West Valley,1024,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,6600    RESEDA                       BL,,34.1958,-118.5399
